sname,sex,mom,dad,birth_date,current_status,known_age_at_censoring,known_lifespan,age_first_live_birth,current_repro_lifespan,final_repro_lifespan,num_live_births_RAW,num_surv_births_RAW,LRS_livebirths,LRS_survbirths,lifetime_rateLiveBirths,lifetime_rateSurvBirths,mom_lowQuartRank,bornInDrought,born_largeGroup,mom_died,has_CompetingSib,EarlyAdversityScore
AAR,M,,,3/30/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ABB,F,ASH,EDW,9/10/98,dead,,9.412473307,6.510609172,2.902121834,2.902121834,2,2,2,2,0.689150943,0.689150943,0,0,0,1,1,2
ABD,M,ABB,NAW,3/15/05,dead,,3.586486338,,,,0,0,,,,,0,0,0,1,0,1
ACA,F,ASH,AMA,1/26/97,dead,,21.85840223,5.429158111,16.42984257,16.42984257,12,7,12,7,0.73037827,0.426053991,0,0,0,1,0,1
ACC,M,ACA,THR,3/25/10,alive,,,,,,0,0,,,,,0,0,0,0,1,1
ACI,F,ACA,THR,2/21/11,alive,8.347478508,,5.28678987,3.06091718,,3,1,,,,,0,0,0,0,1,1
ACM,M,LAV,VOY,8/3/08,censored_groupDropped,,,,,,0,0,,,,,1,1,1,1,0,4
ADD,M,,,12/22/94,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ADO,M,ASH,POW,2/13/00,dead,,0.670755079,,,,0,0,,,,,0,0,0,1,0,1
ADR,M,,,7/28/97,dead,,,,,,0,0,,,,,0,0,0,0,0,0
AFR,M,ACA,POW,7/2/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
AGG,M,,,11/29/98,alive,,,,,,0,0,,,,,0,0,0,0,0,0
ALB,M,ACA,LEB,7/13/07,censored_eventDriven,,,,,,0,0,,,,,0,1,0,0,1,2
ALE,M,,,8/1/88,dead,,,,,,0,0,,,,,0,0,0,0,0,0
ALM,M,,,11/28/00,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ALV,M,,,5/30/00,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
AMA,M,,,1/1/86,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
AMO,M,BET,NAC,2/28/95,dead,,14.58686963,,,,0,0,,,,,0,0,0,1,0,1
ANC,M,,,4/26/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ANE,M,,,4/29/99,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ANN,F,ACA,THR,10/25/08,dead,,2.190220665,,,,0,0,,,,,0,1,0,0,1,2
APH,M,,,11/16/85,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
APO,M,,,6/29/89,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
APP,F,ABB,ZIB,1/20/07,alive,12.43497782,,6.12183436,6.313483915,,3,3,,,,,0,1,0,1,0,2
ARA,M,,,11/22/99,censored_eventDriven,,,,,,0,0,,,,,0,1,0,0,0,1
ARS,M,,,8/14/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ASA,M,,,5/8/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ATL,M,ACA,LEB,12/27/05,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
AYU,M,,,9/27/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
AZI,M,,,3/7/94,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BAG,M,,,7/13/93,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BAT,F,HOL,REX,5/4/05,dead,,6.359853255,5.80971937,0.550308008,0.550308008,1,0,1,0,,,1,0,1,0,0,2
BEA,M,BIN,,10/6/88,dead,,20.48130099,,,,0,0,,,,,0,0,0,0,0,0
BIK,M,HOL,AYU,1/5/10,alive,,,,,,0,0,,,,,1,0,1,1,0,3
BIO,F,WYN,ELV,9/2/07,censored_groupDropped,9.713628648,,5.681040383,4.032854209,,2,0,,,,,0,1,1,0,0,2
BLU,M,,,6/26/92,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BOC,M,,,9/29/00,dead,,,,,,0,0,,,,,0,0,0,0,0,0
BOL,M,,,4/5/04,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BOT,M,WYN,ISR,5/12/09,censored_groupDropped,,,,,,0,0,,,,,0,0,1,0,1,2
BOY,M,,,11/28/03,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BRO,M,,,10/28/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BUC,M,HOL,REX,9/26/01,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
BUF,M,HOL,REX,7/22/03,dead,,1.861687565,,,,0,0,,,,,1,0,0,0,0,1
BUL,M,WOB,ELV,7/23/07,censored_groupDropped,,,,,,0,0,,,,,0,1,1,0,0,2
BUR,F,WOB,ISR,7/8/09,censored_groupDropped,3.925970542,,,,,0,0,,,,,0,0,1,0,0,1
BUT,M,,,4/28/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
BYE,M,,,5/30/03,censored_groupDropped,,,,,,0,0,,,,,0,0,0,0,0,0
CAB,F,CHE,PLA,8/5/98,dead,,16.51700159,6.078028747,10.43942505,10.43942505,6,4,6,4,0.574744296,0.383162864,0,0,0,0,0,0
CAC,F,LOC,VEI,10/28/04,alive,13.97634562,,6.672142368,7.3045859,,3,0,,,,,0,0,1,0,0,1
CAD,M,LOC,VAN,9/23/00,censored_groupDropped,,,,,,0,0,,,,,0,0,0,0,0,0
CAI,F,CHE,EDW,1/12/97,dead,,21.06992279,5.77412731,15.29637235,15.29637235,8,4,8,4,0.522999821,0.261499911,0,0,0,0,0,0
CAM,F,COB,GOM,10/24/11,dead,,2.212122871,,,,0,0,,,,,0,0,0,0,0,0
CAR,M,LOC,VAN,11/5/02,dead,,15.30964245,,,,0,0,,,,,0,0,0,0,0,0
CAV,M,COB,JOB,7/20/07,alive,,,,,,0,0,,,,,0,1,1,0,0,2
CAY,F,CAI,EBA,1/6/07,censored_groupDropped,11.11536987,,6.110882957,5.004791239,,3,0,,,,,0,1,1,0,0,2
CED,M,CEL,AMI,5/8/95,censored_eventDriven,,,,,,0,0,,,,,0,0,0,1,0,1
